Date;Numéro de facture;Code Article;Vendeur;Responsable de Service;Prix Unitaire de Billet;Remise Accordée;Prix de Vente par Unité;Coût Unitaire;Quantité;Code Postal
06/01/2013;55;6;Kelly Clark;John Jones;55,95;0;55,95;16,06;15;3024
06/01/2013;56;18;Amy Apple;John Jones;54,95;0;54,95;26,65;19;3020
06/01/2013;57;6;Kelly Clark;John Jones;55,95;0,1;50,36;16,06;21;3023
06/01/2013;58;37;Amy Apple;John Jones;24,95;0;24,95;9,38;2;3018
07/01/2013;59;19;Wendel Westborne;John Jones;49,95;0;49,95;24,77;18;3028
07/01/2013;60;10;Amy Apple;John Jones;34,95;0;34,95;22,13;12;3025
07/01/2013;61;35;Wendel Westborne;John Jones;0,95;0;0,95;0,47;1;3016
07/01/2013;62;38;Kelly Clark;John Jones;24,95;0;24,95;11,48;1;3012
08/01/2013;63;35;Wendel Westborne;John Jones;0,95;0;0,95;0,47;29;3024
08/01/2013;64;41;Benny Bernanke;John Jones;18,95;0;18,95;9,98;11;3030
08/01/2013;65;43;Benny Bernanke;John Jones;11,95;0;11,95;3,32;11;3033
08/01/2013;66;33;Sally Summer;John Jones;19,95;0;19,95;9,78;23;3025
08/01/2013;66;25;Sally Summer;John Jones;0,95;0,1;0,86;0,35;11;3025
08/01/2013;66;34;Sally Summer;John Jones;37,95;0;37,95;15,35;6;3025
08/01/2013;67;45;Sally Summer;John Jones;38,95;0,1;35,06;22,33;6;3014
08/01/2013;68;19;Benny Bernanke;John Jones;49,95;0;49,95;24,77;31;3013
08/01/2013;68;14;Benny Bernanke;John Jones;31,95;0;31,95;17,38;4;3013
08/01/2013;69;17;Sally Summer;John Jones;49,95;0;49,95;23,93;23;3022
08/01/2013;70;36;Sally Summer;John Jones;26,95;0;26,95;12,53;6;3021
08/01/2013;71;26;Benny Bernanke;John Jones;0,95;0;0,95;0,42;5;3017
08/01/2013;72;38;Benny Bernanke;John Jones;24,95;0;24,95;11,48;2;3030
08/01/2013;73;43;Sally Summer;John Jones;11,95;0,1;10,76;3,32;8;3032
08/01/2013;74;29;Wendel Westborne;John Jones;40,95;0;40,95;15,51;3;3023
08/01/2013;74;23;Wendel Westborne;John Jones;2,95;0;2,95;1,68;10;3023
08/01/2013;74;42;Wendel Westborne;John Jones;35,95;0,1;32,36;20,25;2;3023
08/01/2013;75;15;Benny Bernanke;John Jones;28,95;0,1;26,06;17,53;12;3016
08/01/2013;76;27;Sally Summer;John Jones;4,95;0,1;4,46;1,82;1;3027
08/01/2013;77;13;Wendel Westborne;John Jones;26,95;0,1;24,26;13,26;16;3033
08/01/2013;78;14;Benny Bernanke;John Jones;31,95;0;31,95;17,38;1;3010
08/01/2013;79;24;Sally Summer;John Jones;27,95;0;27,95;16,8;14;3015
08/01/2013;80;2;Wendel Westborne;John Jones;44,95;0;44,95;27,95;9;3016
09/01/2013;81;15;Amy Apple;Mary Mansfield;28,95;0;28,95;17,53;33;3012
09/01/2013;82;32;Kelly Clark;Mary Mansfield;22,95;0;22,95;11,78;1;3017
09/01/2013;83;12;Amy Apple;Mary Mansfield;47,95;0;47,95;20,7;2;3030
09/01/2013;84;26;Kelly Clark;Mary Mansfield;0,95;0;0,95;0,42;10;3030
09/01/2013;84;50;Kelly Clark;Mary Mansfield;24,95;0;24,95;12,14;3;3030
10/01/2013;85;19;Sally Summer;Mary Mansfield;49,95;0;49,95;24,77;31;3021
10/01/2013;85;22;Sally Summer;Mary Mansfield;0,95;0;0,95;0,57;2;3021
10/01/2013;86;37;Wendel Westborne;Mary Mansfield;24,95;0;24,95;9,38;3;3024
10/01/2013;87;44;Wendel Westborne;Mary Mansfield;38,95;0;38,95;24,76;10;3026
10/01/2013;87;44;Wendel Westborne;Mary Mansfield;38,95;0;38,95;24,76;21;3026
10/01/2013;87;21;Wendel Westborne;Mary Mansfield;26,95;0;26,95;12,42;12;3026
10/01/2013;88;27;Wendel Westborne;Mary Mansfield;4,95;0;4,95;1,82;8;3027
10/01/2013;89;13;Wendel Westborne;Mary Mansfield;26,95;0;26,95;13,26;13;3032
10/01/2013;89;1;Wendel Westborne;Mary Mansfield;43,95;0,1;39,56;25,6;1;3032
11/01/2013;90;33;Kelly Clark;Mary Mansfield;19,95;0;19,95;9,78;28;3027
11/01/2013;91;11;Benny Bernanke;Mary Mansfield;65,95;0;65,95;37,97;8;3012
11/01/2013;91;28;Benny Bernanke;Mary Mansfield;0,95;0;0,95;0,5;33;3012
12/01/2013;92;10;Benny Bernanke;Mary Mansfield;34,95;0;34,95;22,13;9;3019
12/01/2013;92;5;Benny Bernanke;Mary Mansfield;24,95;0;24,95;12,27;7;3019
12/01/2013;92;32;Benny Bernanke;Mary Mansfield;22,95;0,1;20,66;11,78;5;3019
12/01/2013;92;44;Benny Bernanke;Mary Mansfield;38,95;0;38,95;24,76;4;3019
12/01/2013;93;27;Benny Bernanke;Mary Mansfield;4,95;0;4,95;1,82;9;3021
12/01/2013;94;39;Benny Bernanke;Mary Mansfield;26,95;0;26,95;12,24;7;3014
12/01/2013;94;46;Benny Bernanke;Mary Mansfield;55,95;0;55,95;32,47;24;3014
12/01/2013;94;48;Benny Bernanke;Mary Mansfield;3,95;0;3,95;1,43;16;3014
12/01/2013;94;46;Benny Bernanke;Mary Mansfield;55,95;0;55,95;32,47;23;3014
12/01/2013;94;30;Benny Bernanke;Mary Mansfield;10,95;0;10,95;4,8;27;3014
12/01/2013;94;35;Benny Bernanke;Mary Mansfield;0,95;0;0,95;0,47;21;3014
12/01/2013;94;4;Benny Bernanke;Mary Mansfield;73,95;0;73,95;38,86;1;3014
12/01/2013;95;37;Sally Summer;Mary Mansfield;24,95;0,1;22,46;9,38;8;3013
12/01/2013;96;10;Sally Summer;Mary Mansfield;34,95;0;34,95;22,13;6;3017
12/01/2013;96;47;Sally Summer;Mary Mansfield;28,95;0,1;26,06;8,86;20;3017
12/01/2013;97;33;Benny Bernanke;Mary Mansfield;19,95;0;19,95;9,78;2;3013
12/01/2013;98;9;Sally Summer;Mary Mansfield;48,95;0;48,95;24,52;23;3024
12/01/2013;99;40;Benny Bernanke;Mary Mansfield;16,95;0;16,95;6,53;12;3022
12/01/2013;100;12;Sally Summer;Mary Mansfield;47,95;0;47,95;20,7;4;3021
12/01/2013;100;49;Sally Summer;Mary Mansfield;63,95;0;63,95;27,1;1;3021
12/01/2013;100;48;Sally Summer;Mary Mansfield;3,95;0;3,95;1,43;24;3021
12/01/2013;101;20;Benny Bernanke;Mary Mansfield;16,95;0;16,95;6,76;10;3014
12/01/2013;102;48;Sally Summer;Mary Mansfield;3,95;0;3,95;1,43;16;3012
12/01/2013;103;28;Benny Bernanke;Mary Mansfield;0,95;0,3;0,67;0,5;6;3016
12/01/2013;103;31;Benny Bernanke;Mary Mansfield;0,95;0;0,95;0,34;2;3016
12/01/2013;103;22;Benny Bernanke;Mary Mansfield;0,95;0;0,95;0,57;10;3016
12/01/2013;104;23;Sally Summer;Mary Mansfield;2,95;0,1;2,66;1,68;6;3027
12/01/2013;105;31;Benny Bernanke;Mary Mansfield;0,95;0;0,95;0,34;4;3017
12/01/2013;105;32;Benny Bernanke;Mary Mansfield;22,95;0;22,95;11,78;24;3017
12/01/2013;105;20;Benny Bernanke;Mary Mansfield;16,95;0;16,95;6,76;18;3017
12/01/2013;106;36;Benny Bernanke;Mary Mansfield;26,95;0,1;24,26;12,53;3;3018
12/01/2013;107;21;Sally Summer;Mary Mansfield;26,95;0;26,95;12,42;19;3014
12/01/2013;108;43;Benny Bernanke;Mary Mansfield;11,95;0;11,95;3,32;8;3018
12/01/2013;108;13;Benny Bernanke;Mary Mansfield;26,95;0;26,95;13,26;15;3018
12/01/2013;109;31;Sally Summer;Mary Mansfield;0,95;0;0,95;0,34;21;3016
12/01/2013;109;13;Sally Summer;Mary Mansfield;26,95;0;26,95;13,26;5;3016
12/01/2013;110;35;Benny Bernanke;Mary Mansfield;0,95;0;0,95;0,47;11;3012
12/01/2013;110;12;Benny Bernanke;Mary Mansfield;47,95;0;47,95;20,7;3;3012
12/01/2013;111;2;Sally Summer;Mary Mansfield;44,95;0;44,95;27,95;2;3031
12/01/2013;111;40;Sally Summer;Mary Mansfield;16,95;0;16,95;6,53;6;3031
12/01/2013;112;28;Benny Bernanke;Mary Mansfield;0,95;0;0,95;0,5;26;3024
12/01/2013;112;13;Benny Bernanke;Mary Mansfield;26,95;0;26,95;13,26;1;3024
12/01/2013;113;50;Sally Summer;Mary Mansfield;24,95;0;24,95;12,14;3;3019
12/01/2013;113;11;Sally Summer;Mary Mansfield;65,95;0;65,95;37,97;7;3019
12/01/2013;113;20;Sally Summer;Mary Mansfield;16,95;0;16,95;6,76;21;3019
13/01/2013;114;11;Amy Apple;John Jones;65,95;0;65,95;37,97;18;3020
13/01/2013;115;3;Kelly Clark;John Jones;59,95;0;59,95;28,73;3;3014
13/01/2013;116;15;Amy Apple;John Jones;28,95;0,2;23,16;17,53;14;3018
13/01/2013;117;3;Kelly Clark;John Jones;59,95;0;59,95;28,73;23;3023
13/01/2013;117;14;Kelly Clark;John Jones;31,95;0;31,95;17,38;1;3023
13/01/2013;117;14;Kelly Clark;John Jones;31,95;0;31,95;17,38;2;3023
13/01/2013;118;20;Amy Apple;John Jones;16,95;0;16,95;6,76;16;3026
13/01/2013;118;6;Amy Apple;John Jones;55,95;0;55,95;16,06;24;3026
13/01/2013;118;19;Amy Apple;John Jones;49,95;0;49,95;24,77;17;3026
13/01/2013;119;7;Kelly Clark;John Jones;20,95;0;20,95;10,04;8;3022
13/01/2013;120;2;Amy Apple;John Jones;44,95;0;44,95;27,95;3;3026
13/01/2013;121;30;Amy Apple;John Jones;10,95;0,1;9,86;4,8;3;3010
13/01/2013;121;36;Amy Apple;John Jones;26,95;0;26,95;12,53;35;3010
13/01/2013;122;26;Kelly Clark;John Jones;0,95;0;0,95;0,42;10;3018
13/01/2013;122;18;Kelly Clark;John Jones;54,95;0;54,95;26,65;13;3018
13/01/2013;122;4;Kelly Clark;John Jones;73,95;0;73,95;38,86;2;3018
13/01/2013;122;35;Kelly Clark;John Jones;0,95;0;0,95;0,47;26;3018
13/01/2013;122;42;Kelly Clark;John Jones;35,95;0;35,95;20,25;1;3018
13/01/2013;123;47;Amy Apple;John Jones;28,95;0;28,95;8,86;19;3024
13/01/2013;123;31;Amy Apple;John Jones;0,95;0;0,95;0,34;13;3024
13/01/2013;123;49;Amy Apple;John Jones;63,95;0,1;57,56;27,1;5;3024
13/01/2013;124;23;Kelly Clark;John Jones;2,95;0;2,95;1,68;12;3021
13/01/2013;125;38;Amy Apple;John Jones;24,95;0,1;22,46;11,48;5;3030
13/01/2013;125;26;Amy Apple;John Jones;0,95;0;0,95;0,42;6;3030
13/01/2013;125;4;Amy Apple;John Jones;73,95;0;73,95;38,86;2;3030
13/01/2013;126;7;Kelly Clark;John Jones;20,95;0,1;18,86;10,04;19;3011
13/01/2013;126;4;Kelly Clark;John Jones;73,95;0;73,95;38,86;2;3011
13/01/2013;127;33;Amy Apple;John Jones;19,95;0,1;17,96;9,78;31;3019
13/01/2013;128;19;Kelly Clark;John Jones;49,95;0;49,95;24,77;2;3013
13/01/2013;128;43;Kelly Clark;John Jones;11,95;0,1;10,76;3,32;3;3013
14/01/2013;129;40;Amy Apple;John Jones;16,95;0;16,95;6,53;15;3021
14/01/2013;129;7;Amy Apple;John Jones;20,95;0;20,95;10,04;1;3021
14/01/2013;130;10;Wendel Westborne;John Jones;34,95;0;34,95;22,13;16;3022
14/01/2013;131;7;Amy Apple;John Jones;20,95;0;20,95;10,04;24;3020
14/01/2013;131;47;Amy Apple;John Jones;28,95;0;28,95;8,86;1;3020
14/01/2013;131;29;Amy Apple;John Jones;40,95;0;40,95;15,51;1;3020
14/01/2013;132;11;Wendel Westborne;John Jones;65,95;0;65,95;37,97;19;3022
14/01/2013;133;13;Kelly Clark;John Jones;26,95;0;26,95;13,26;9;3032
14/01/2013;134;9;Amy Apple;John Jones;48,95;0,1;44,06;24,52;5;3018
14/01/2013;134;6;Amy Apple;John Jones;55,95;0,1;50,36;16,06;23;3018
14/01/2013;135;5;Wendel Westborne;John Jones;24,95;0;24,95;12,27;4;3015
14/01/2013;136;17;Amy Apple;John Jones;49,95;0;49,95;23,93;17;3024
14/01/2013;137;1;Wendel Westborne;John Jones;43,95;0,1;39,56;25,6;4;3012
14/01/2013;138;43;Amy Apple;John Jones;11,95;0;11,95;3,32;2;3014
14/01/2013;138;48;Amy Apple;John Jones;3,95;0;3,95;1,43;8;3014
14/01/2013;138;7;Amy Apple;John Jones;20,95;0;20,95;10,04;24;3014
14/01/2013;138;8;Amy Apple;John Jones;7,95;0;7,95;4,53;12;3014
14/01/2013;139;27;Kelly Clark;John Jones;4,95;0;4,95;1,82;2;3018
14/01/2013;140;28;Kelly Clark;John Jones;0,95;0;0,95;0,5;30;3030
15/01/2013;141;23;Wendel Westborne;John Jones;2,95;0;2,95;1,68;2;3030
15/01/2013;142;4;Sally Summer;John Jones;73,95;0;73,95;38,86;1;3028
15/01/2013;143;46;Wendel Westborne;John Jones;55,95;0;55,95;32,47;2;3014
15/01/2013;143;18;Wendel Westborne;John Jones;54,95;0;54,95;26,65;27;3014
15/01/2013;143;18;Wendel Westborne;John Jones;54,95;0;54,95;26,65;34;3014
15/01/2013;144;8;Benny Bernanke;John Jones;7,95;0;7,95;4,53;20;3031
15/01/2013;145;42;Benny Bernanke;John Jones;35,95;0;35,95;20,25;2;3031
15/01/2013;146;30;Sally Summer;John Jones;10,95;0,1;9,86;4,8;11;3019
15/01/2013;147;23;Wendel Westborne;John Jones;2,95;0,1;2,66;1,68;4;3010
15/01/2013;148;16;Benny Bernanke;John Jones;27,95;0;27,95;15,85;2;3022
15/01/2013;149;23;Sally Summer;John Jones;2,95;0,1;2,66;1,68;8;3024
15/01/2013;150;21;Wendel Westborne;John Jones;26,95;0;26,95;12,42;15;3032
15/01/2013;150;3;Wendel Westborne;John Jones;59,95;0;59,95;28,73;3;3032
15/01/2013;151;25;Sally Summer;John Jones;0,95;0,2;0,76;0,35;1;3018
15/01/2013;152;49;Benny Bernanke;John Jones;63,95;0;63,95;27,1;1;3020
15/01/2013;153;48;Wendel Westborne;John Jones;3,95;0;3,95;1,43;15;3013
15/01/2013;153;8;Wendel Westborne;John Jones;7,95;0;7,95;4,53;9;3013
15/01/2013;154;26;Sally Summer;John Jones;0,95;0;0,95;0,42;3;3015
15/01/2013;155;40;Benny Bernanke;John Jones;16,95;0;16,95;6,53;26;3022
15/01/2013;156;40;Benny Bernanke;John Jones;16,95;0;16,95;6,53;24;3032
15/01/2013;157;35;Wendel Westborne;John Jones;0,95;0;0,95;0,47;26;3027
15/01/2013;157;50;Wendel Westborne;John Jones;24,95;0;24,95;12,14;2;3027
15/01/2013;157;22;Wendel Westborne;John Jones;0,95;0;0,95;0,57;8;3027
15/01/2013;157;6;Wendel Westborne;John Jones;55,95;0;55,95;16,06;14;3027
15/01/2013;157;9;Wendel Westborne;John Jones;48,95;0;48,95;24,52;29;3027
15/01/2013;158;2;Sally Summer;John Jones;44,95;0;44,95;27,95;10;3021
15/01/2013;159;45;Benny Bernanke;John Jones;38,95;0;38,95;22,33;2;3011
15/01/2013;160;7;Sally Summer;John Jones;20,95;0;20,95;10,04;1;3028
15/01/2013;160;25;Sally Summer;John Jones;0,95;0;0,95;0,35;10;3028
15/01/2013;161;31;Benny Bernanke;John Jones;0,95;0;0,95;0,34;8;3022
15/01/2013;162;13;Wendel Westborne;John Jones;26,95;0;26,95;13,26;7;3023
15/01/2013;162;21;Wendel Westborne;John Jones;26,95;0,1;24,26;12,42;19;3023
15/01/2013;162;30;Wendel Westborne;John Jones;10,95;0,2;8,76;4,8;24;3023
16/01/2013;163;23;Kelly Clark;Mary Mansfield;2,95;0,1;2,66;1,68;7;3021
16/01/2013;163;37;Kelly Clark;Mary Mansfield;24,95;0;24,95;9,38;10;3021
16/01/2013;164;10;Amy Apple;Mary Mansfield;34,95;0;34,95;22,13;3;3029
16/01/2013;164;20;Amy Apple;Mary Mansfield;16,95;0;16,95;6,76;12;3029
16/01/2013;164;38;Amy Apple;Mary Mansfield;24,95;0,1;22,46;11,48;2;3029
16/01/2013;164;37;Amy Apple;Mary Mansfield;24,95;0;24,95;9,38;7;3029
16/01/2013;165;33;Amy Apple;Mary Mansfield;19,95;0;19,95;9,78;17;3022
16/01/2013;165;1;Amy Apple;Mary Mansfield;43,95;0;43,95;25,6;17;3022
16/01/2013;166;7;Kelly Clark;Mary Mansfield;20,95;0;20,95;10,04;3;3010
16/01/2013;167;18;Kelly Clark;Mary Mansfield;54,95;0;54,95;26,65;25;3019
16/01/2013;168;31;Amy Apple;Mary Mansfield;0,95;0;0,95;0,34;7;3011
16/01/2013;169;49;Kelly Clark;Mary Mansfield;63,95;0;63,95;27,1;2;3012
16/01/2013;169;20;Kelly Clark;Mary Mansfield;16,95;0,1;15,26;6,76;4;3012
16/01/2013;170;48;Amy Apple;Mary Mansfield;3,95;0;3,95;1,43;4;3020
16/01/2013;171;25;Amy Apple;Mary Mansfield;0,95;0;0,95;0,35;29;3030
16/01/2013;172;41;Kelly Clark;Mary Mansfield;18,95;0;18,95;9,98;5;3029
16/01/2013;173;9;Amy Apple;Mary Mansfield;48,95;0,1;44,06;24,52;19;3019
16/01/2013;173;9;Amy Apple;Mary Mansfield;48,95;0;48,95;24,52;3;3019
16/01/2013;174;48;Amy Apple;Mary Mansfield;3,95;0;3,95;1,43;1;3016
16/01/2013;174;11;Amy Apple;Mary Mansfield;65,95;0;65,95;37,97;1;3016
16/01/2013;174;4;Amy Apple;Mary Mansfield;73,95;0;73,95;38,86;1;3016
16/01/2013;174;37;Amy Apple;Mary Mansfield;24,95;0;24,95;9,38;11;3016
16/01/2013;175;1;Amy Apple;Mary Mansfield;43,95;0;43,95;25,6;10;3024
16/01/2013;176;50;Kelly Clark;Mary Mansfield;24,95;0;24,95;12,14;3;3020
16/01/2013;176;38;Kelly Clark;Mary Mansfield;24,95;0;24,95;11,48;4;3020
16/01/2013;177;12;Amy Apple;Mary Mansfield;47,95;0;47,95;20,7;1;3025
17/01/2013;178;27;Sally Summer;Mary Mansfield;4,95;0;4,95;1,82;2;3026
17/01/2013;179;42;Wendel Westborne;Mary Mansfield;35,95;0;35,95;20,25;2;3025
17/01/2013;179;35;Wendel Westborne;Mary Mansfield;0,95;0,1;0,86;0,47;2;3025
17/01/2013;180;45;Sally Summer;Mary Mansfield;38,95;0;38,95;22,33;6;3013
17/01/2013;181;20;Wendel Westborne;Mary Mansfield;16,95;0,1;15,26;6,76;17;3010
17/01/2013;182;11;Sally Summer;Mary Mansfield;65,95;0;65,95;37,97;17;3029
17/01/2013;182;11;Sally Summer;Mary Mansfield;65,95;0,1;59,36;37,97;1;3029
17/01/2013;183;29;Sally Summer;Mary Mansfield;40,95;0,1;36,86;15,51;5;3026
17/01/2013;184;24;Wendel Westborne;Mary Mansfield;27,95;0;27,95;16,8;33;3014
17/01/2013;185;20;Sally Summer;Mary Mansfield;16,95;0;16,95;6,76;9;3018
17/01/2013;186;30;Sally Summer;Mary Mansfield;10,95;0,1;9,86;4,8;3;3027
17/01/2013;187;13;Wendel Westborne;Mary Mansfield;26,95;0;26,95;13,26;14;3027
17/01/2013;188;5;Sally Summer;Mary Mansfield;24,95;0,1;22,46;12,27;5;3032
17/01/2013;188;4;Sally Summer;Mary Mansfield;73,95;0;73,95;38,86;2;3032
17/01/2013;189;29;Wendel Westborne;Mary Mansfield;40,95;0;40,95;15,51;4;3011
17/01/2013;189;22;Wendel Westborne;Mary Mansfield;0,95;0,1;0,86;0,57;8;3011
17/01/2013;190;12;Sally Summer;Mary Mansfield;47,95;0;47,95;20,7;4;3021
17/01/2013;191;42;Wendel Westborne;Mary Mansfield;35,95;0;35,95;20,25;1;3031
17/01/2013;192;41;Sally Summer;Mary Mansfield;18,95;0,1;17,06;9,98;21;3011
17/01/2013;193;43;Wendel Westborne;Mary Mansfield;11,95;0;11,95;3,32;5;3014
17/01/2013;194;13;Sally Summer;Mary Mansfield;26,95;0,1;24,26;13,26;8;3011
17/01/2013;194;45;Sally Summer;Mary Mansfield;38,95;0;38,95;22,33;5;3011
17/01/2013;195;30;Wendel Westborne;Mary Mansfield;10,95;0;10,95;4,8;11;3032
17/01/2013;196;8;Wendel Westborne;Mary Mansfield;7,95;0,1;7,16;4,53;18;3031
18/01/2013;197;49;Benny Bernanke;Mary Mansfield;63,95;0;63,95;27,1;5;3025
18/01/2013;198;35;Kelly Clark;Mary Mansfield;0,95;0;0,95;0,47;9;3032
18/01/2013;198;47;Kelly Clark;Mary Mansfield;28,95;0;28,95;8,86;7;3032
18/01/2013;199;6;Benny Bernanke;Mary Mansfield;55,95;0;55,95;16,06;9;3020
